asho,Site,URL,Full Street Address,Street address,Suite,City,State,Zip,Group,Brand Facebook URL,Brand Twitter handle,Brand Twitter URL,Newseum front page link KILL/WILL NOT WORK,Daily/Wkly,Frequency,MNG/JRC,"City, State",Marker,lat,lon
35,Milford-Orange Bulletin,http://Ctbulletin.com,"40 Sargent Drive, New Haven, CT 06511",40 Sargent Drive,,New Haven,CT,6511,CONNECTICUT,https://www.facebook.com/CTBulletin,@CTBulletin,https://twitter.com/CTBulletin,,W,W,JRC,"New Haven, CT",,41.287185,-72.927784
30,Minuteman News Center,http://Minutemannewscenter.com,"40 Sargent Drive, New Haven, CT 06511",40 Sargent Drive,,New Haven,CT,6511,CONNECTICUT,http://bit.ly/TvTlul,@fairfieldminute & @westportminute,http://bit.ly/113abED,,W,W,JRC,"New Haven, CT",small_red,41.287185,-72.927784
114,Montgomery News,http://Montgomerynews.com,"290 Commerce Dr., Fort Washington, PA 19034",290 Commerce Dr.,,Fort Washington,PA,19034,PENNSYLVANIA,http://www.facebook.com/MontgomeryMedia,@montgomerymedia,https://twitter.com/fyiMontco,,W,W,JRC,"Fort Washington, PA",small_red,40.136273,-75.1987429
58,Nashoba Publishing,http://www.nashobapublishing.com,"78 Barnum Road, Devens, MA 01434-3508",78 Barnum Road,,Devens,MA, 01434-3508,MASSACHUSSETS,facebook.com/NashobaPub,@editorKATE,https://twitter.com/editorKATE,,W,W,MNG,"Nashoba, MA",small_red,42.547516,-71.588846
99,Oroville Mercury-Register,http://www.orovillemr.com/,"2124 Fifth Ave., Oroville, CA 95965",2124 Fifth Ave.,,Oroville,CA,95965,NORCAL - Northern California,,@OrovilleMR,https://twitter.com/OrovilleMR,,W,W,MNG,"Oroville, CA",small_red,39.502452,-121.566187
32,Post Chronicle,http://CTpostchronicle.com,"40 Sargent Drive, New Haven, CT 06511",40 Sargent Drive,,New Haven,CT,6511,CONNECTICUT,https://www.facebook.com/RegisterCitizen?fref=ts#!/CTPostChronicle?fref=ts,@CTpostchronicle,https://twitter.com/ctpostchronicle,,W,W,JRC,"New Haven, CT",small_red,41.287185,-72.927784
65,Press & Guide,http://Pressandguide.com,"One Heritage Drive, Suite 100, Southgate, MI 48195",One Heritage Drive, Suite 100,Southgate,MI,48195,MICHIGAN,http://bit.ly/PGbrandFB,@pressandguide,https://twitter.com/pressandguide,,W,W,JRC,"Southgate, MI",small_red,42.210209,-83.224242
88,Rome Observer,http://Romeobserver.com,"130 Broad St., Oneida, NY 13421",130 Broad St.,,Oneida,NY,13421,NEW YORK,https://www.facebook.com/pages/Rome-Observer/340124912888,@romeobserver,https://twitter.com/RomeObserver,,W,W,JRC,"Rome, NY",small_red,43.093742,-75.65364
79,Ruidoso News,http://www.ruidosonews.com/,"104 Park Avenue, Ruidoso, NM 88345",104 Park Avenue,,Ruidoso,NM,88345,NEW MEXICO,http://www.facebook.com/pages/Ruidoso-News/136941796341905,@RuidosoNews,https://twitter.com/RuidosoNews,,W,W,MNG,"Ruidoso, NM",small_red,33.328315,-105.662916
33,ShoreLine Times,http://Shorelinetimes.com,"40 Sargent Drive, New Haven, CT 06511",40 Sargent Drive,,New Haven,CT,6511,CONNECTICUT,https://www.facebook.com/RegisterCitizen?fref=ts#!/ShoreLineTimes?fref=ts,@ShorelineTimes,https://twitter.com/shorelinetimes,,W,W,JRC,"New Haven, CT",small_red,41.287185,-72.927784
80,Silver City Sun News,http://www.scsun-news.com/,"208 W. Broadway, Silver City, NM 88061",208 W. Broadway,,Silver City,NM,88061,NEW MEXICO,http://www.facebook.com/scsunnews,@SCSunNews,https://twitter.com/SCSunNews,,W,W,MNG,"Silver City, NM",small_red,32.7698222,-108.2772109
73,South Jersey Local News,http://www.southjerseylocalnews.com/,"32 S. Main Street, Medford, NJ 08055",32 S. Main Street,,Medford,NJ,8055,NEW JERSEY,http://bit.ly/V4UoAL,"@CentralRecord, @MapleShadeProg, @NJRecordBreeze, @NJCommunityNews",http://bit.ly/Tv9fWN,,W,W,JRC,,small_red,39.8983956,-74.8235407
119,Southern Chester County Weeklies,http://Southernchestercountyweeklies.com,"250 N. Bradford Ave., West Chester, PA 19382",250 N. Bradford Ave.,,West Chester,PA,19382,PENNSYLVANIA,,,,,W,W,JRC,"West Chester, PA",small_red,39.9584509,-75.6190589
116,The Advance of Bucks County (Bucks Local News),http://Buckslocalnews.com,"2100 Frost Rd., Bristol, PA 19007",2100 Frost Rd.,,Bristol,PA,19007,PENNSYLVANIA,http://www.facebook.com/pages/BucksLocalNewscom/196946321084,"@BucksLocalNews, @AdvanceofBucks",http://bit.ly/X5gNlA,,W,W,JRC,"Newtown, PA",small_red,40.116483,-74.8948432
56,The Advocate Weekly,http://www.advocateweekly.com/,"85 Main St., Suite 2, North Adams, MA 01247",85 Main St., Suite 2,North Adams,MA,1247,MASSACHUSSETS,facebook.com/TheAdvocateWeekly,None,None,,W,W,MNG,,small_red,42.6992383,-73.1125427
50,The Beach Reporter,http://www.tbrnews.com/,"2615 Pacific Coast Highway, Suite 329, Hermosa Beach, CA 90254",2615 Pacific Coast Highway, Suite 329,Hermosa Beach,CA,90254,LANG - Los Angeles News Group,http://www.facebook.com/TheBeachReporter?fref=ts,@Beach_Reporter,https://twitter.com/Beach_Reporter,,W,W,MNG,,,33.873536,-118.396328
